DF,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,220989,2002
DF,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,202410,2002
ES,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,717646,2002
ES,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,8140,2002
ES,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,114308,2002
ES,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,1177,2002
ES,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,436028,2002
ES,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,334697,2002
GO,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,1069398,2002
GO,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,8907,2002
GO,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,259088,2002
GO,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,827,2002
GO,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,493038,2002
GO,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,709025,2002
MA,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,843132,2002
MA,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,5985,2002
MA,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,455860,2002
MA,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,788,2002
MA,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,508006,2002
MA,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,248621,2002
MG,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,4990085,2002
MG,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,43881,2002
MG,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,862231,2002
MG,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,6264,2002
MG,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,1359073,2002
MG,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,2151597,2002
MS,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,446438,2002
MS,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,4144,2002
MS,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,145271,2002
MS,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,393,2002
MS,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,170957,2002
MS,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,308905,2002
MT,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,509151,2002
MT,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,2585,2002
MT,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,181028,2002
MT,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,314,2002
MT,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,187598,2002
MT,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,372068,2002
PA,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,1070416,2002
PA,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,7584,2002
PA,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,269687,2002
PA,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,496,2002
PA,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,510470,2002
PA,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,673488,2002
PB,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,754329,2002
PB,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,3863,2002
PB,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,138789,2002
PB,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,666,2002
PB,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,215207,2002
PB,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,466346,2002
PE,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,1657476,2002
PE,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,8838,2002
PE,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,235145,2002
PE,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,922,2002
PE,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,651445,2002
PE,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,1015496,2002
PI,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,616157,2002
PI,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,1937,2002
PI,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,196157,2002
PI,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,424,2002
PI,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,141624,2002
PI,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,358986,2002
PR,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,2540328,2002
PR,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,25900,2002
PR,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,409135,2002
PR,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,2044,2002
PR,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,722438,2002
PR,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,1367384,2002
RJ,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,3284258,2002
RJ,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,59244,2002
RJ,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,657725,2002
RJ,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,4696,2002
RJ,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,3449001,2002
RJ,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,721081,2002
RN,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,581544,2002
RN,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,3720,2002
RN,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,218880,2002
RN,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,514,2002
RN,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,229896,2002
RN,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,296856,2002
RO,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,283279,2002
RO,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,2785,2002
RO,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,60663,2002
RO,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,170,2002
RO,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,154074,2002
RO,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,128000,2002
RR,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,71952,2002
RR,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,693,2002
RR,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,28063,2002
RR,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,140,2002
RR,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,39974,2002
RR,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,19195,2002
RS,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,2667451,2002
RS,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,21930,2002
RS,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,588560,2002
RS,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,2729,2002
RS,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,709904,2002
RS,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,1913186,2002
SC,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,1719739,2002
SC,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,18678,2002
SC,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,217695,2002
SC,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,1423,2002
SC,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,373683,2002
SC,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,707239,2002
SE,Presidente,13,LUIZ INACIO LULA DA SILVA,PT,PT / PL / PC do B / PMN / PCB ,1,2º turno,1,BR,9574,14419,357557,2002
SE,Presidente,16,JOSÉ MARIA DE ALMEIDA,PSTU,PSTU,1,Não eleito,1,BR,9576,14419,4324,2002
SE,Presidente,23,CIRO FERREIRA GOMES,PPS,PPS / PDT / PTB,1,Não eleito,1,BR,9568,14419,133887,2002
SE,Presidente,29,RUI COSTA PIMENTA,PCO,PCO,1,Não eleito,1,BR,9570,14419,360,2002
SE,Presidente,40,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PSB,PSB / PGT / PTC,1,Não eleito,1,BR,9578,14419,151155,2002
SE,Presidente,45,JOSÉ SERRA,PSDB,PSDB / PMDB ,1,2º turno,1,BR,9572,14419,160348,2002
