2018;ES;587253
2018;GO;994467
2018;MA;287190
2018;MG;3266476
2018;MS;410427
2018;MT;425131
2018;PA;390040
2018;PB;338198
2018;PE;573103
2018;PI;193461
2018;PR;2267044
2018;RJ;3304112
2018;RN;378481
2018;RO;144397
2018;RR;36796
2018;RS;2046625
2018;SC;1542399
2018;SE;209537
2018;SP;10486014
2018;TO;120190
2019;AC;68618
2019;AL;177486
2019;AM;348825
2019;AP;74327
2019;BA;1102590
2019;CE;968045
2019;DF;721554
2019;ES;593630
2019;GO;994818
2019;MA;320978
2019;MG;3516660
2019;MS;413314
2019;MT;451356
2019;PA;422090
2019;PB;410187
2019;PE;636659
2019;PI;211673
2019;PR;2332299
2019;RJ;3489349
2019;RN;407461
2019;RO;176393
2019;RR;37297
2019;RS;2247444
2019;SC;1697428
2019;SE;235533
2019;SP;10728749
2019;TO;122235
2020;AC;84911
2020;AL;183731
2020;AM;392649
2020;AP;103423
2020;BA;1274787
2020;CE;1197055
2020;DF;754447
2020;ES;642349
2020;GO;1139356
2020;MA;363629
2020;MG;3870743
2020;MS;425483
2020;MT;488914
2020;PA;502251
2020;PB;472644
2020;PE;705040
2020;PI;295494
2020;PR;2598754
2020;RJ;3577029
2020;RN;511357
2020;RO;217713
2020;RR;51991
2020;RS;2508096
2020;SC;1999593
2020;SE;316520
2020;SP;11547000
2020;TO;119711
2021;AC;101350
2021;AL;248601
2021;AM;446443
2021;AP;120459
2021;BA;1685317
2021;CE;1396504
2021;DF;828471
2021;ES;767312
2021;GO;1230371
2021;MA;444997
2021;MG;4480447
2021;MS;499772
2021;MT;647216
2021;PA;637382
2021;PB;560132
2021;PE;832697
2021;PI;354775
2021;PR;2901077
2021;RJ;3739794
2021;RN;615150
2021;RO;280116
2021;RR;81622
2021;RS;2975580
2021;SC;2277322
2021;SE;330778
2021;SP;13035934
2021;TO;137814
2022;AC;115926
2022;AL;299216
2022;AM;491889
2022;AP;129261
2022;BA;1726607
2022;CE;1530855
2022;DF;830004
2022;ES;838925
2022;GO;1371748
2022;MA;574833
2022;MG;5042239
2022;MS;570396
2022;MT;754127
2022;PA;752749
2022;PB;635853
2022;PE;983857
2022;PI;404737
2022;PR;3166022
2022;RJ;3864599
2022;RN;690553
2022;RO;311018
2022;RR;84562
2022;RS;3212148
2022;SC;2496468
2022;SE;357394
2022;SP;13942518
2022;TO;180967
